radius,thickness,gap_angle,shell_stiffness
3500,30,160,101
3500,30,170,82
3500,30,180,62
3500,40,10,7013
3500,40,20,3814
3500,40,30,2288
3500,40,40,1613
3500,40,50,1240
3500,40,60,928
3500,40,70,741
3500,40,80,618
3500,40,90,499
3500,40,100,416
3500,40,110,356
3500,40,120,291
3500,40,130,243
3500,40,140,205
3500,40,150,163
3500,40,160,132
3500,40,170,108
3500,40,180,82
3500,50,10,8658
3500,50,20,4742
3500,50,30,2869
3500,50,40,2037
3500,50,50,1571
3500,50,60,1178
3500,50,70,939
3500,50,80,781
3500,50,90,626
3500,50,100,520
3500,50,110,443
3500,50,120,360
3500,50,130,299
3500,50,140,252
3500,50,150,201
3500,50,160,162
3500,50,170,132
3500,50,180,101
3500,60,10,10288
3500,60,20,5663
3500,60,30,3449
3500,60,40,2463
3500,60,50,1905
3500,60,60,1430
3500,60,70,1139
3500,60,80,945
3500,60,90,755
3500,60,100,625
3500,60,110,530
3500,60,120,429
3500,60,130,355
3500,60,140,299
3500,60,150,237
3500,60,160,191
3500,60,170,156
3500,60,180,119
3500,70,10,11891
3500,70,20,6583
3500,70,30,4029
3500,70,40,2890
3500,70,50,2240
3500,70,60,1683
3500,70,70,1342
3500,70,80,1111
3500,70,90,885
3500,70,100,730
3500,70,110,617
3500,70,120,498
3500,70,130,411
3500,70,140,345
3500,70,150,273
3500,70,160,220
3500,70,170,180
3500,70,180,137
3500,80,10,13477
3500,80,20,7496
3500,80,30,4608
3500,80,40,3317
3500,80,50,2575
3500,80,60,1938
3500,80,70,1545
3500,80,80,1278
3500,80,90,1016
3500,80,100,836
3500,80,110,705
3500,80,120,567
3500,80,130,467
3500,80,140,391
3500,80,150,309
3500,80,160,249
3500,80,170,204
3500,80,180,156
3500,90,10,15038
3500,90,20,8396
3500,90,30,5184
3500,90,40,3744
3500,90,50,2910
3500,90,60,2193
3500,90,70,1749
3500,90,80,1445
3500,90,90,1147
3500,90,100,943
3500,90,110,793
3500,90,120,636
3500,90,130,523
3500,90,140,437
3500,90,150,346
3500,90,160,278
3500,90,170,228
3500,90,180,174
3500,100,10,16584
3500,100,20,9294
3500,100,30,5760
3500,100,40,4170
3500,100,50,3246
3500,100,60,2448
3500,100,70,1953
3500,100,80,1613
3500,100,90,1279
3500,100,100,1050
3500,100,110,881
3500,100,120,706
3500,100,130,579
3500,100,140,484
3500,100,150,382
3500,100,160,307
3500,100,170,251
3500,100,180,192
3500,110,10,18083
3500,110,20,10183
3500,110,30,6329
3500,110,40,4593
3500,110,50,3580
3500,110,60,2703
3500,110,70,2157
3500,110,80,1781
3500,110,90,1411
3500,110,100,1157
3500,110,110,970
3500,110,120,776
3500,110,130,636
3500,110,140,530
3500,110,150,418
3500,110,160,337
3500,110,170,275
3500,110,180,210
3500,120,10,19569
3500,120,20,11074
3500,120,30,6901
3500,120,40,5018
3500,120,50,3914
3500,120,60,2959
3500,120,70,2362
3500,120,80,1949
3500,120,90,1543
3500,120,100,1265
3500,120,110,1059
3500,120,120,846
3500,120,130,693
3500,120,140,577
3500,120,150,455
3500,120,160,366
3500,120,170,299
3500,120,180,229
3500,130,10,21053
3500,130,20,11947
3500,130,30,7463
3500,130,40,5438
3500,130,50,4246
3500,130,60,3213
3500,130,70,2567
3500,130,80,2118
3500,130,90,1676
3500,130,100,1373
3500,130,110,1149
3500,130,120,917
3500,130,130,750
3500,130,140,624
3500,130,150,492
3500,130,160,396
3500,130,170,323
3500,130,180,247
3500,140,10,22472
3500,140,20,12804
3500,140,30,8026
3500,140,40,5858
3500,140,50,4579
3500,140,60,3467
3500,140,70,2772
3500,140,80,2287
3500,140,90,1810
3500,140,100,1481
3500,140,110,1239
3500,140,120,988
3500,140,130,808
3500,140,140,672
3500,140,150,529
3500,140,160,426
3500,140,170,348
3500,140,180,266
3500,150,10,23866
3500,150,20,13680
3500,150,30,8584
3500,150,40,6277
3500,150,50,4909
3500,150,60,3722
3500,150,70,2977
3500,150,80,2456
3500,150,90,1944
3500,150,100,1591
3500,150,110,1329
3500,150,120,1059
3500,150,130,866
3500,150,140,720
3500,150,150,566
3500,150,160,456
3500,150,170,372
3500,150,180,285
4000,10,10,1644
4000,10,20,796
4000,10,30,436
4000,10,40,302
4000,10,50,234
4000,10,60,184
4000,10,70,156
4000,10,80,136
4000,10,90,116
4000,10,100,100
4000,10,110,87
4000,10,120,72
4000,10,130,60
4000,10,140,50
4000,10,150,39
4000,10,160,31
4000,10,170,25
4000,10,180,19
4000,20,10,3201
4000,20,20,1673
4000,20,30,966
4000,20,40,670
4000,20,50,516
4000,20,60,394
4000,20,70,324
4000,20,80,278
4000,20,90,232
4000,20,100,199
4000,20,110,173
4000,20,120,143
4000,20,130,120
4000,20,140,101
4000,20,150,80
4000,20,160,64
4000,20,170,52
4000,20,180,39
4000,30,10,4677
4000,30,20,2507
4000,30,30,1486
4000,30,40,1043
